molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL470226,CS(=O)(=O)c1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1,1.4,active
CHEMBL453410,O=C(Nc1ccc(O)cc1)c1cc2ccccc2oc1=O,800.0,active
CHEMBL469818,Cc1cccc(Cl)c1NC(=O)c1cc2ccccc2oc1=O,19070.0,inactive
CHEMBL511966,Cc1ccc(C)c(NC(=O)c2cc3ccccc3oc2=O)c1,22450.0,inactive
CHEMBL470020,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)c(C)c1,13740.0,inactive
CHEMBL511967,Cc1cccc(NC(=O)c2cc3ccccc3oc2=O)c1C,18270.0,inactive
CHEMBL512719,Cc1cccc(C)c1NC(=O)c1cc2ccccc2oc1=O,1290.0,intermediate
CHEMBL472069,O=C(Nc1c(F)cccc1F)c1cc2ccccc2oc1=O,9230.0,intermediate
CHEMBL471221,Cc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1C,380.0,active
CHEMBL450518,COc1ccc(NC(=O)c2cc3ccccc3oc2=O)cc1OC,860.0,active
CHEMBL471232,Cc1cc(C)cc(NC(=O)c2cc3ccccc3oc2=O)c1,700.0,active
CHEMBL508793,COc1cc(NC(=O)c2cc3ccccc3oc2=O)cc(OC)c1,4180.0,intermediate
CHEMBL469768,O=C(Nc1c(F)c(F)c(F)c(F)c1F)c1cc2ccccc2oc1=O,460.0,active
CHEMBL511789,N#Cc1c(F)c(F)c(NC(=O)c2cc3ccccc3oc2=O)c(F)c1F,860.0,active
CHEMBL513549,O=C(Nc1c(F)c(F)nc(F)c1F)c1cc2ccccc2oc1=O,580.0,active
CHEMBL469976,O=C(NCc1ccccc1)c1cc2ccccc2oc1=O,1960.0,intermediate
CHEMBL448696,CN(C(=O)c1cc2ccccc2oc1=O)c1ccccc1,8890.0,intermediate
CHEMBL471447,O=C(NC1CCCCC1)c1cc2ccc(OCc3ccccc3)cc2oc1=O,64450.0,inactive
CHEMBL499266,CC(C)CNC(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O,9590.0,intermediate
CHEMBL512703,CC(C)c1ccc(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)cc1,3690.0,intermediate
CHEMBL470612,N#Cc1c(F)c(F)c(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)c(F)c1F,16540.0,inactive
CHEMBL472218,O=C(Nc1ccccc1Cc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O,63520.0,inactive
CHEMBL469571,Cc1cccc(Cl)c1NC(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O,61490.0,inactive
CHEMBL469782,COc1ccc(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)cc1OC,4390.0,intermediate
CHEMBL469783,COc1cc(NC(=O)c2cc3ccc(OCc4ccccc4)cc3oc2=O)cc(OC)c1,3360.0,intermediate
CHEMBL502021,O=C(NCc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O,990.0,active
CHEMBL526897,O=C(NNc1ccccc1)c1cc2ccc(OCc3ccccc3)cc2oc1=O,4520.0,intermediate
CHEMBL500683,N#Cc1c(F)c(F)c(NC(=O)c2cc3ccc(OCc4ccc(F)cc4)cc3oc2=O)c(F)c1F,3450.0,intermediate
CHEMBL484769,Cc1cccc(Cl)c1NC(=O)c1cc2ccc(OCc3ccc(F)cc3)cc2oc1=O,41640.0,inactive
CHEMBL484410,COc1ccc(NC(=O)c2cc3ccc(OCc4ccc(F)cc4)cc3oc2=O)cc1OC,2870.0,intermediate
CHEMBL519678,COc1cc(NC(=O)c2cc3ccc(OCc4ccc(F)cc4)cc3oc2=O)cc(OC)c1,21560.0,inactive
CHEMBL470008,CN(C(=O)c1cc2ccc(OCc3ccccc3)cc2oc1=O)c1ccccc1,2370.0,intermediate
CHEMBL471228,COc1ccc(NC(=O)c2cc3ccc(OCc4ccccc4)c(C)c3oc2=O)cc1OC,4980.0,intermediate
CHEMBL8706,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,61350.0,inactive
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,20.0,active
CHEMBL92401,CC(C)NNC(=O)c1ccncc1,7540.0,intermediate
CHEMBL139679,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(O)cc1O,5.1,active
CHEMBL406861,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1,4.4,active
CHEMBL7531,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(O)cc1,31.0,active
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,20.0,active
CHEMBL490752,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(F)cc1O,71.0,active
CHEMBL489719,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)cc1,54.0,active
CHEMBL241861,O=C(/C=C/c1ccc(Cl)cc1)c1ccccc1O,160.0,active
CHEMBL490923,CS(=O)(=O)c1ccc(C(=O)/C=C/c2ccc(Cl)cc2)cc1,470.0,active
CHEMBL489720,COc1ccc(C(=O)/C=C/c2ccc(OCc3ccccc3)cc2)cc1,450.0,active
CHEMBL490922,O=C(/C=C/c1ccc(OCc2ccccc2)cc1)c1ccc(F)cc1,500.0,active
CHEMBL489718,CC(C)=CCOc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1,1250.0,intermediate
CHEMBL7976,O=C(/C=C/c1ccccc1)c1ccccc1,1410.0,intermediate
CHEMBL491888,CC(C)=CCOc1ccc(C(=O)/C=C/c2ccc(C)cc2)c(O)c1,1030.0,intermediate
CHEMBL92401,CC(C)NNC(=O)c1ccncc1,7540.0,intermediate
