molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4446787,Cc1c(C)c2ccc(OCC3CCCN(Cc4ccc(Cl)cc4)C3)cc2oc1=O.Cl,active,448.39000000000004,5.776040000000006,0.0,4.0,7.301029995663981
CHEMBL4527319,Cc1c(C)c2ccc(OCC3CCCN(Cc4ccc(S(C)(=O)=O)cc4)C3)cc2oc1=O,active,455.5760000000002,4.104340000000003,0.0,6.0,6.94692155651658
CHEMBL4455029,Cc1c(C)c2ccc(OCC3CCCN(Cc4ccc(C#N)cc4)C3)cc2oc1=O,active,402.49400000000014,4.572520000000004,0.0,5.0,7.468521082957745
CHEMBL4556552,COc1ccc(CN2CCCC(COc3ccc4c(C)c(C)c(=O)oc4c3)C2)cc1OC,active,437.5360000000003,4.718040000000005,0.0,6.0,7.045757490560675
CHEMBL4522235,Cc1c(C)c2ccc(OCCCN3CCc4ccccc4C3)cc2oc1=O.Cl,active,399.91800000000006,4.658840000000005,0.0,4.0,6.525783735923745
CHEMBL4562275,Cc1c(C)c2ccc(OCCCCN3CCc4ccccc4C3)cc2oc1=O.Cl,active,413.9450000000001,5.048940000000005,0.0,4.0,6.213248577854439
CHEMBL4439943,COc1cccc(C#CCN2CCn3c(nc4c3c(=O)n(C)c(=O)n4C)C2)c1,inactive,379.42000000000013,0.30960000000000076,0.0,8.0,5.0
CHEMBL4472428,Cn1c(=O)c2c(nc3n2CCN(CC#Cc2ccc(Cl)c(Cl)c2)C3)n(C)c1=O,inactive,418.28400000000016,1.6077999999999997,0.0,7.0,5.0
CHEMBL4463900,Cn1c(=O)c2c(nc3n2CCN(CC#Cc2cccc(Cl)c2)C3)n(C)c1=O,inactive,383.8390000000001,0.9543999999999995,0.0,7.0,5.0
CHEMBL4447494,Cn1c(=O)c2c(nc3n2CCN(CC#N)C3)n(C)c1=O,inactive,274.284,-1.227119999999999,0.0,8.0,5.0
CHEMBL4450675,Cn1c(=O)c2c(nc3n2CCN(Cc2cn(-c4ccc(Cl)cc4)nn2)C3)n(C)c1=O,inactive,426.8680000000001,0.6835999999999989,0.0,10.0,5.0
CHEMBL4470386,Cc1cc(CN2CCn3c(nc4c3c(=O)n(C)c(=O)n4C)C2)n(C)n1,inactive,343.39100000000013,-0.5085799999999987,0.0,9.0,5.0
CHEMBL4470777,Cc1sc(-c2ccc(C(F)(F)F)cc2)nc1CN1CCn2c(nc3c2c(=O)n(C)c(=O)n3C)C1,inactive,490.5110000000003,2.900220000000002,0.0,9.0,5.0
CHEMBL4554778,Cn1c(=O)c2c(nc3n2CCN(Cc2csc(-c4ccc(Cl)cc4)n2)C3)n(C)c1=O,inactive,442.93200000000013,2.226399999999999,0.0,9.0,5.0
CHEMBL4483392,Cn1c(=O)c2c(nc3n2CCN(Cc2csc(-c4cccc(Cl)c4)n2)C3)n(C)c1=O,inactive,442.93200000000013,2.226399999999999,0.0,9.0,5.0
CHEMBL4549506,Cn1c(=O)c2c(nc3n2CCN(Cc2csc(-c4ccc(C(F)(F)F)cc4)n2)C3)n(C)c1=O,inactive,476.48400000000015,2.591799999999999,0.0,9.0,5.0
CHEMBL4540395,Cn1c(=O)c2c(nc3n2CCN(Cc2csc(-c4cccs4)n2)C3)n(C)c1=O,inactive,414.51600000000013,1.6344999999999994,0.0,10.0,5.0
CHEMBL4443627,Cn1c(=O)c2c(nc3n2CCN(C2CCN(Cc4ccccc4)CC2)C3)n(C)c1=O,inactive,408.5060000000002,0.9138999999999999,0.0,8.0,5.0
CHEMBL4564018,Cn1c(=O)c2c(nc3n2CCN(Cc2nocc2-c2ccccc2)C3)n(C)c1=O,inactive,392.41900000000015,1.1044999999999996,0.0,9.0,5.0
CHEMBL4515367,Cn1c(=O)c2c(nc3n2CCN([C@H]2CCc4ccccc42)C3)n(C)c1=O,inactive,351.41000000000014,0.9367999999999999,0.0,7.0,5.0
CHEMBL4581583,COc1cccc2c1CC[C@H](N1CCn3c(nc4c3c(=O)n(C)c(=O)n4C)C1)C2,inactive,395.4630000000002,0.8153999999999997,0.0,8.0,5.0
CHEMBL4451303,Cn1c(=O)c2c(nc3n2CCN([C@@H]2CCCc4ccccc42)C3)n(C)c1=O,active,365.4370000000001,1.3268999999999997,0.0,7.0,6.6777807052660805
CHEMBL4449715,Cn1c(=O)c2c(nc3n2CCN(CCOc2ccc(Cl)c(Cl)c2)C3)n(C)c1=O,inactive,424.2880000000002,1.6350999999999998,0.0,8.0,5.0
CHEMBL4457067,Cn1c(=O)c2c(nc3n2CCN(CCOc2cccc(F)c2)C3)n(C)c1=O,inactive,373.3880000000001,0.4673999999999998,0.0,8.0,5.0
CHEMBL4471953,Cn1c(=O)c2c(nc3n2CCN(CCOc2ccccc2F)C3)n(C)c1=O,inactive,373.3880000000001,0.4673999999999998,0.0,8.0,5.0
CHEMBL4579360,Cn1c(=O)c2c(nc3n2CCN(CCOc2ccccc2)C3)n(C)c1=O,inactive,355.3980000000001,0.3282999999999998,0.0,8.0,5.0
CHEMBL4516571,Cn1c(=O)c2c(nc3n2CCN(CCCn2ccnc2)C3)n(C)c1=O,inactive,343.3910000000001,-0.4638999999999991,0.0,9.0,5.0
CHEMBL4449481,Cn1c(=O)c2c(nc3n2CCN(CCCn2cccc2)C3)n(C)c1=O,inactive,342.4030000000001,0.14109999999999934,0.0,8.0,5.0
CHEMBL4567470,Cn1c(=O)c2c(nc3n2CCN(CCCc2cccc(Br)c2)C3)n(C)c1=O,inactive,432.3220000000001,1.6445999999999996,0.0,7.0,5.0
CHEMBL4582207,Cn1c(=O)c2c(nc3n2CCN(CCCc2ccc(Cl)cc2)C3)n(C)c1=O,inactive,387.8710000000001,1.5354999999999999,0.0,7.0,5.0
CHEMBL4518442,Cn1c(=O)c2c(nc3n2CCN(CCCc2ccccc2)C3)n(C)c1=O,inactive,353.4260000000001,0.8820999999999999,0.0,7.0,5.0
CHEMBL4474165,Cn1c(=O)c2c(nc3n2CCN(CCn2cccc2)C3)n(C)c1=O,inactive,328.3760000000001,-0.24899999999999944,0.0,8.0,5.0
CHEMBL4534266,Cn1c(=O)c2c(nc3n2CCN(CCc2cccs2)C3)n(C)c1=O,inactive,345.4280000000001,0.5534999999999992,0.0,8.0,5.0
CHEMBL4571914,CC(CN1CCn2c(nc3c2c(=O)n(C)c(=O)n3C)C1)c1ccccc1,inactive,353.4260000000001,1.0530000000000002,0.0,7.0,5.0
CHEMBL4535141,Cn1c(=O)c2c(nc3n2CCN(CC(O)c2ccccc2)C3)n(C)c1=O,inactive,355.39800000000014,-0.017100000000001225,1.0,8.0,5.0
CHEMBL4444501,Cn1c(=O)c2c(nc3n2CCN(CCc2ccc4c(c2)OCO4)C3)n(C)c1=O,inactive,383.4080000000002,0.22069999999999923,0.0,9.0,5.0
CHEMBL4527230,COc1ccc(CCN2CCn3c(nc4c3c(=O)n(C)c(=O)n4C)C2)cc1OC,inactive,399.4510000000002,0.5092000000000005,0.0,9.0,5.0
CHEMBL4517225,COc1cccc(CCN2CCn3c(nc4c3c(=O)n(C)c(=O)n4C)C2)c1OC,inactive,399.4510000000002,0.5092000000000005,0.0,9.0,5.0
CHEMBL4467813,COc1ccc(Br)cc1CCN1CCn2c(nc3c2c(=O)n(C)c(=O)n3C)C1,inactive,448.32100000000025,1.2630999999999994,0.0,8.0,5.0
CHEMBL4556578,Cn1c(=O)c2c(nc3n2CCN(CCc2ccc(Cl)cc2C(F)(F)F)C3)n(C)c1=O,active,441.8410000000001,2.1641999999999992,0.0,7.0,6.371611069949688
CHEMBL4465460,Cn1c(=O)c2c(nc3n2CCN(CCc2ccc(Cl)c(Cl)c2)C3)n(C)c1=O,active,408.28900000000016,1.7987999999999995,0.0,7.0,6.095825631715837
CHEMBL4463864,Cn1c(=O)c2c(nc3n2CCN(CCc2c(Cl)cccc2Cl)C3)n(C)c1=O,active,408.28900000000016,1.7987999999999995,0.0,7.0,6.030584087646019
CHEMBL4552824,Cn1c(=O)c2c(nc3n2CCN(CCc2cc(C(F)(F)F)ccc2F)C3)n(C)c1=O,inactive,425.3860000000001,1.6498999999999995,0.0,7.0,5.0
CHEMBL4456413,Cn1c(=O)c2c(nc3n2CCN(CCc2cccc(F)c2F)C3)n(C)c1=O,inactive,375.37900000000013,0.7701999999999996,0.0,7.0,5.0
CHEMBL4461019,COc1cccc(CCN2CCn3c(nc4c3c(=O)n(C)c(=O)n4C)C2)c1,inactive,369.4250000000001,0.5006000000000002,0.0,8.0,5.0
CHEMBL4460101,COc1ccccc1CCN1CCn2c(nc3c2c(=O)n(C)c(=O)n3C)C1,inactive,369.4250000000001,0.5006000000000002,0.0,8.0,5.0
CHEMBL3827973,Cn1c(=O)c2c(nc3n2CCN(CCc2ccc(O)cc2)C3)n(C)c1=O,inactive,355.3980000000001,0.19759999999999933,1.0,8.0,5.0
CHEMBL4464931,Cn1c(=O)c2c(nc3n2CCN(CCc2cccc(C(F)(F)F)c2)C3)n(C)c1=O,inactive,407.3960000000001,1.5107999999999993,0.0,7.0,5.0
CHEMBL4449404,Cn1c(=O)c2c(nc3n2CCN(CCc2ccccc2Br)C3)n(C)c1=O,active,418.29500000000013,1.254499999999999,0.0,7.0,6.013228265733755
CHEMBL4465764,Cn1c(=O)c2c(nc3n2CCN(CCc2ccc(Cl)cc2)C3)n(C)c1=O,inactive,373.8440000000001,1.1453999999999995,0.0,7.0,5.0
CHEMBL4469103,Cn1c(=O)c2c(nc3n2CCN(CCc2cccc(Cl)c2)C3)n(C)c1=O,inactive,373.8440000000001,1.1453999999999993,0.0,7.0,5.0
CHEMBL4469213,Cn1c(=O)c2c(nc3n2CCN(CCc2ccccc2Cl)C3)n(C)c1=O,active,373.8440000000001,1.1453999999999993,0.0,7.0,6.140861702705469
CHEMBL4465423,Cn1c(=O)c2c(nc3n2CCN(CCc2cccc(F)c2)C3)n(C)c1=O,inactive,357.3890000000001,0.6310999999999993,0.0,7.0,5.0
CHEMBL4461040,Cn1c(=O)c2c(nc3n2CCN(CCc2ccccc2F)C3)n(C)c1=O,inactive,357.3890000000001,0.6310999999999993,0.0,7.0,5.0
CHEMBL4446062,Cn1c(=O)c2c(nc3n2CCN(CCc2ccccc2)C3)n(C)c1=O,inactive,339.3990000000001,0.4919999999999989,0.0,7.0,5.0
CHEMBL4462800,Cn1c(=O)c2c(nc3n2CCN(c2cccc4ccccc24)C3)n(C)c1=O,active,361.40500000000014,1.6070999999999995,0.0,7.0,6.08196966321512
CHEMBL4555770,Cn1c(=O)c2c(nc3n2CCN(c2ccc(Br)cc2)C3)n(C)c1=O,active,390.24100000000016,1.2163999999999997,0.0,7.0,6.87942606879415
CHEMBL4476672,Cn1c(=O)c2c(nc3n2CCN(c2ccc(Cl)cc2)C3)n(C)c1=O,inactive,345.79000000000013,1.1072999999999995,0.0,7.0,5.0
CHEMBL4442891,Cn1c(=O)c2c(nc3n2CCN(c2cccc(Cl)c2)C3)n(C)c1=O,active,345.79000000000013,1.1072999999999995,0.0,7.0,6.414539270491499
CHEMBL4444119,Cn1c(=O)c2c(nc3n2CCN(c2ccccc2)C3)n(C)c1=O,inactive,311.3450000000001,0.45389999999999997,0.0,7.0,5.0
CHEMBL4548500,Cn1c(=O)c2c(nc3n2CCN(Cc2ccc(Cl)c(Cl)c2)C3)n(C)c1=O,active,394.2620000000001,1.7562999999999993,0.0,7.0,6.705533773838407
CHEMBL4560229,Cn1c(=O)c2c(nc3n2CCN(Cc2ccccc2)C3)n(C)c1=O,inactive,325.3720000000001,0.4494999999999991,0.0,7.0,5.0
CHEMBL113,Cn1c(=O)c2c(ncn2C)n(C)c1=O,inactive,194.194,-1.0293,0.0,6.0,4.301029995663981
CHEMBL673,C#CCN(C)Cc1ccccc1,active,159.232,1.7516,0.0,1.0,6.987162775294828
CHEMBL4579018,CC(C)=CCc1c(O)c(CC=C(C)C)c2c(c1O)C(=O)C[C@@H](c1ccc(O)cc1O)O2,inactive,424.49300000000017,5.232900000000007,4.0,6.0,4.0
CHEMBL4520128,CC(C)=CCC(Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1O)CC2=O)=C(C)C,inactive,424.4930000000002,5.450700000000007,4.0,6.0,4.281498311132726
CHEMBL376915,CC(C)=CCc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1)CC2=O,inactive,340.37500000000006,4.018600000000003,3.0,5.0,4.0
CHEMBL334918,Oc1ccc2c(c1)OC[C@H]1c3cc4c(cc3O[C@@H]21)OCO4,active,284.26700000000005,2.7306,1.0,5.0,6.167491087293763
CHEMBL242341,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,inactive,268.268,3.1742000000000017,1.0,4.0,4.58838029403677
